Accession	OrganismName	GlyTCC	GlnTTG	LysTTT	PheGAA	ThrTGT	TyrGTA	AlaTGC	ProTGG	ValTAC-ValGAC	IleGAT	SerTGA	GlyGCC	HisGTG	AspGTC	MetCAT	ArgTCT	SerGCT	fMetCAT	TrpCCA	CysGCA	AsnGTT	GluTTC	LeuTAG-LeuGAG	LeuTAA-LeuCAA
GCF_000974825.1	Escherichia coli K-12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_002119845.1	Rhizobium etli strain NXC12 chromosome	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000021865.1	Rhodobacter capsulatus SB 1003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_013030075.1	Neisseria gonorrhoeae strain TUM19854 chromosome	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000931575.1	Haemophilus influenzae strain 477 chromosome	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000012345.1	Candidatus Pelagibacter ubique HTCC1062	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000008605.1	Treponema pallidum subsp pallidum str Nichols	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000195735.1	Rickettsia prowazekii str Madrid E	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_002777075.1	Chlamydia trachomatis strain SQ05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_944407095.1	Candidatus Enterousia intestinigallinarum	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_900638335.1	Campylobacter lari strain NCTC11937	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000304455.1	Cardinium endosymbiont cEper1 of Encarsia pergandiella	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_900048035.1	Candidatus Gullanella endobia	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_030060845.1	Candidatus Midichloria sp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000196075.1	Tropheryma whipplei TW08/27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_019669085.1	Borrelia sp HM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
GCA_016699915.1	Neisseriales bacterium	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000013165.1	Neorickettsia sennetsu str Miyayama	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_001029715.1	candidate division TM6 bacterium GW2011_GWF2_28_16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
GCF_900039485.1	Candidatus Doolittlea endobia	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_026644375.1	Borreliella afzelii strain PMel 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000011745.1	Candidatus Blochmannia pennsylvanicus str BPEN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000754265.1	Candidatus Baumannia cicadellinicola	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
