genome Protein
GCF_000829155.1.gff L25
GCF_000829155.1.gff L28
GCF_000829155.1.gff L33
GCF_000829155.1.gff L7/L12
GCF_000829155.1.gff L10
GCF_000829155.1.gff L1
GCF_000829155.1.gff L11
GCF_000829155.1.gff S2
GCF_000829155.1.gff S9
GCF_000829155.1.gff L13
GCF_000829155.1.gff L35
GCF_000829155.1.gff L20
GCF_000829155.1.gff L19
GCF_000829155.1.gff L34
GCF_000829155.1.gff L21
GCF_000829155.1.gff L27
GCF_000829155.1.gff S6
GCF_000829155.1.gff S18
GCF_000829155.1.gff L9
GCF_000829155.1.gff S21
GCF_000829155.1.gff S20
GCF_000829155.1.gff S16
GCF_000829155.1.gff L32
GCF_000829155.1.gff S15
GCF_000829155.1.gff L31
GCF_000829155.1.gff S12
GCF_000829155.1.gff S7
GCF_000829155.1.gff S10
GCF_000829155.1.gff L3
GCF_000829155.1.gff L4
GCF_000829155.1.gff L23
GCF_000829155.1.gff L2
GCF_000829155.1.gff S19
GCF_000829155.1.gff L22
GCF_000829155.1.gff S3
GCF_000829155.1.gff L16
GCF_000829155.1.gff S17
GCF_000829155.1.gff L14
GCF_000829155.1.gff L24
GCF_000829155.1.gff L5
GCF_000829155.1.gff S14
GCF_000829155.1.gff S8
GCF_000829155.1.gff L6
GCF_000829155.1.gff L18
GCF_000829155.1.gff S5
GCF_000829155.1.gff L15
GCF_000829155.1.gff L36
GCF_000829155.1.gff S13
GCF_000829155.1.gff S11
GCF_000829155.1.gff S4
GCF_000829155.1.gff L17

GCA_000331975.1.gff L11
GCA_000331975.1.gff L1
GCA_000331975.1.gff L10
GCA_000331975.1.gff L7/L12
GCA_000331975.1.gff S21
GCA_000331975.1.gff L25
GCA_000331975.1.gff S1
GCA_000331975.1.gff L21
GCA_000331975.1.gff L27
GCA_000331975.1.gff L31
GCA_000331975.1.gff S15
GCA_000331975.1.gff L33
GCA_000331975.1.gff L28
GCA_000331975.1.gff L13
GCA_000331975.1.gff S9
GCA_000331975.1.gff S2
GCA_000331975.1.gff S12
GCA_000331975.1.gff S7
GCA_000331975.1.gff S10
GCA_000331975.1.gff L3
GCA_000331975.1.gff L4
GCA_000331975.1.gff L23
GCA_000331975.1.gff L2
GCA_000331975.1.gff S19
GCA_000331975.1.gff L22
GCA_000331975.1.gff S3
GCA_000331975.1.gff L16
GCA_000331975.1.gff S17
GCA_000331975.1.gff L14
GCA_000331975.1.gff L24
GCA_000331975.1.gff L5
GCA_000331975.1.gff S14
GCA_000331975.1.gff S8
GCA_000331975.1.gff L6
GCA_000331975.1.gff L18
GCA_000331975.1.gff S5
GCA_000331975.1.gff L30
GCA_000331975.1.gff L15
GCA_000331975.1.gff S13
GCA_000331975.1.gff S11
GCA_000331975.1.gff S4
GCA_000331975.1.gff L17
GCA_000331975.1.gff L35
GCA_000331975.1.gff L20
GCA_000331975.1.gff L19
GCA_000331975.1.gff L32
GCA_000331975.1.gff L34
GCA_000331975.1.gff S20
GCA_000331975.1.gff L9
GCA_000331975.1.gff S18
GCA_000331975.1.gff S6
GCA_000331975.1.gff S16

GCF_002119845.1.gff S1
GCF_002119845.1.gff S15
GCF_002119845.1.gff L35
GCF_002119845.1.gff L20
GCF_002119845.1.gff S20
GCF_002119845.1.gff L34
GCF_002119845.1.gff S21
GCF_002119845.1.gff L9
GCF_002119845.1.gff S18
GCF_002119845.1.gff S6
GCF_002119845.1.gff S9
GCF_002119845.1.gff L13
GCF_002119845.1.gff L33
GCF_002119845.1.gff L11
GCF_002119845.1.gff L1
GCF_002119845.1.gff L10
GCF_002119845.1.gff L7/L12
GCF_002119845.1.gff S12
GCF_002119845.1.gff S7
GCF_002119845.1.gff S10
GCF_002119845.1.gff L3
GCF_002119845.1.gff L4
GCF_002119845.1.gff L23
GCF_002119845.1.gff L2
GCF_002119845.1.gff S19
GCF_002119845.1.gff L22
GCF_002119845.1.gff S3
GCF_002119845.1.gff L16
GCF_002119845.1.gff L29
GCF_002119845.1.gff S17
GCF_002119845.1.gff L14
GCF_002119845.1.gff L24
GCF_002119845.1.gff L5
GCF_002119845.1.gff S14
GCF_002119845.1.gff S8
GCF_002119845.1.gff L6
GCF_002119845.1.gff L18
GCF_002119845.1.gff S5
GCF_002119845.1.gff L30
GCF_002119845.1.gff L15
GCF_002119845.1.gff S13
GCF_002119845.1.gff S11
GCF_002119845.1.gff L17
GCF_002119845.1.gff S2
GCF_002119845.1.gff S4
GCF_002119845.1.gff L25
GCF_002119845.1.gff L31
GCF_002119845.1.gff L36
GCF_002119845.1.gff S21
GCF_002119845.1.gff L28
GCF_002119845.1.gff S16
GCF_002119845.1.gff L19
GCF_002119845.1.gff L32
GCF_002119845.1.gff L21
GCF_002119845.1.gff L27
GCF_002119845.1.gff S21

GCF_013463375.1.gff S2
GCF_013463375.1.gff L31
GCF_013463375.1.gff L1
GCF_013463375.1.gff S9
GCF_013463375.1.gff L20
GCF_013463375.1.gff L33
GCF_013463375.1.gff L28
GCF_013463375.1.gff S16
GCF_013463375.1.gff L27
GCF_013463375.1.gff L2
GCF_013463375.1.gff S11
GCF_013463375.1.gff S13
GCF_013463375.1.gff L36
GCF_013463375.1.gff L15
GCF_013463375.1.gff S5
GCF_013463375.1.gff L6
GCF_013463375.1.gff S8
GCF_013463375.1.gff S14
GCF_013463375.1.gff L5
GCF_013463375.1.gff L14
GCF_013463375.1.gff S17
GCF_013463375.1.gff L16
GCF_013463375.1.gff S3
GCF_013463375.1.gff L22
GCF_013463375.1.gff S19
GCF_013463375.1.gff L2
GCF_013463375.1.gff L4
GCF_013463375.1.gff L3
GCF_013463375.1.gff S10
GCF_013463375.1.gff S7
GCF_013463375.1.gff S12
GCF_013463375.1.gff L7/L12
GCF_013463375.1.gff L11

GCF_000012345.1.gff L25
GCF_000012345.1.gff L28
GCF_000012345.1.gff L21
GCF_000012345.1.gff L27
GCF_000012345.1.gff L19
GCF_000012345.1.gff S16
GCF_000012345.1.gff S15
GCF_000012345.1.gff S20
GCF_000012345.1.gff L35
GCF_000012345.1.gff L20
GCF_000012345.1.gff L34
GCF_000012345.1.gff L36
GCF_000012345.1.gff S21
GCF_000012345.1.gff L31
GCF_000012345.1.gff L9
GCF_000012345.1.gff S18
GCF_000012345.1.gff S6
GCF_000012345.1.gff S2
GCF_000012345.1.gff S9
GCF_000012345.1.gff L13
GCF_000012345.1.gff L33
GCF_000012345.1.gff L32
GCF_000012345.1.gff L17
GCF_000012345.1.gff S11
GCF_000012345.1.gff S13
GCF_000012345.1.gff L15
GCF_000012345.1.gff S5
GCF_000012345.1.gff L18
GCF_000012345.1.gff L6
